,id,amount_tsh,days_since_recorded,funder,gps_height,installer,basin,region_code,population,public_meeting,permit,extraction_type_class,management,payment_type,water_quality,quality_group,quantity,source,source_class,waterpoint_type_group,construction_periods
0,50785,0.0,302,other,1996,other,Internal,21,321,True,True,other,parastatal,never pay,soft,good,seasonal,rainwater harvesting,surface,other,2010-2013
1,51630,0.0,302,other,1569,DWE,Pangani,2,300,True,True,gravity,vwc,never pay,soft,good,insufficient,spring,groundwater,communal standpipe,2000-2009
2,17168,0.0,305,other,1567,other,Internal,13,500,True,False,other,vwc,never pay,soft,good,insufficient,rainwater harvesting,surface,other,2010-2013
3,45559,0.0,315,other,267,other,Ruvuma / Southern Coast,80,250,False,True,other,vwc,unknown,soft,good,dry,shallow well,groundwater,other,1980-1989
4,49871,500.0,251,other,1260,other,Ruvuma / Southern Coast,10,60,False,True,gravity,water board,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
5,52449,0.0,274,other,1685,DWE,Pangani,2,200,True,True,gravity,vwc,never pay,soft,good,enough,spring,groundwater,communal standpipe,1990-1999
6,24806,0.0,1007,other,550,other,Rufiji,11,600,True,True,handpump,vwc,never pay,salty,salty,enough,machine dbh,groundwater,hand pump,2000-2009
7,28965,0.0,312,other,234,other,Ruvuma / Southern Coast,9,1,True,True,submersible,vwc,never pay,soft,good,dry,machine dbh,groundwater,communal standpipe,1980-1989
8,36301,30.0,314,Unicef,584,other,Ruvuma / Southern Coast,90,40,True,False,gravity,vwc,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe,1990-1999
9,54122,0.0,260,other,1083,other,Pangani,3,1,True,True,gravity,water board,monthly,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
10,419,5.0,61,other,1259,other,Pangani,3,75,True,True,gravity,water board,per bucket,soft,good,enough,spring,groundwater,communal standpipe,2000-2009
11,45750,0.0,279,other,608,other,Pangani,21,500,True,True,other,vwc,never pay,soft,good,dry,rainwater harvesting,surface,other,2000-2009
12,653,0.0,418,World Bank,0,other,Internal,14,0,True,True,motorpump,vwc,unknown,soft,good,dry,machine dbh,groundwater,communal standpipe,unknown
13,14017,0.0,858,other,0,DWE,Lake Victoria,19,0,True,True,motorpump,vwc,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe,unknown
14,44607,1000.0,1007,Danida,1625,other,Rufiji,11,1,True,True,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,1980-1989
15,40228,1200.0,183,Danida,916,DWE,Ruvuma / Southern Coast,10,0,True,True,gravity,vwc,annually,soft,good,enough,river,surface,communal standpipe,1980-1989
16,27714,0.0,1013,other,-39,other,Rufiji,6,900,True,False,handpump,vwc,never pay,soft,good,enough,shallow well,groundwater,hand pump,unknown
17,28785,200.0,998,other,1793,DWE,Pangani,4,1,True,True,gravity,vwc,monthly,soft,good,enough,spring,groundwater,communal standpipe,1970-1979
18,28330,0.0,423,other,0,DWE,Lake Tanganyika,17,0,True,True,gravity,parastatal,unknown,soft,good,seasonal,rainwater harvesting,surface,communal standpipe,unknown
